StationIndex,Station,Accuracy,Precision,Recall,F1 score,Average MSE,MAE,Final MSE (Epoch 500)
1,Dhaka,0.610485,0.873706,0.610485,0.666532,4.959381,1.442075,1.200328702
2,Tangail,0.466443,0.742265,0.466443,0.473706,5.253455,1.609438,0.787142273
3,Mymensingh,0.597581,0.875171,0.597581,0.661029,4.209781,1.3414,0.997121639
4,Faridpur,0.603638,0.879459,0.603638,0.669018,4.006224,1.307441,2.262624006
5,Madaripur,0.555774,0.772907,0.555774,0.551341,16.6355,2.663285,1.03218302
6,Srimangal,0.549075,0.871672,0.549075,0.62562,16.653138,2.767083,2.497229477
7,Sylhet,0.716209,0.887474,0.716209,0.732214,12.300431,2.077293,2.418298526
8,Bogra,0.577473,0.866003,0.577473,0.646654,10.221877,2.089107,2.044293119
9,Dinajpur,0.593832,0.798876,0.593832,0.580251,15.880038,2.617183,1.234666592
10,Ishurdi,0.640264,0.875776,0.640264,0.689128,9.030956,2.183188,1.901296173
11,Rajshahi,0.728346,0.888086,0.728346,0.73926,10.042155,1.87145,2.085304561
12,Rangpur,0.669291,0.885141,0.669291,0.705851,11.737966,2.062848,1.822790388
13,Sydpur,0.372137,0.779491,0.372137,0.42978,20.841488,3.422027,0.789756872
14,Chuadanga,0.534467,0.754992,0.534467,0.523633,17.419795,2.721903,0.775860899
15,Jessore,0.685039,0.883204,0.685039,0.713763,10.923841,2.021922,1.86099592
16,Khulna,0.695506,0.877675,0.695506,0.71801,10.911382,2.007989,2.221868465
17,Mongla,0.315539,0.782647,0.315539,0.384888,21.923054,3.649806,1.312493882
18,Satkhira,0.707599,0.881361,0.707599,0.728094,11.265274,2.00259,0.949392019
19,Barisal,0.682819,0.877346,0.682819,0.713648,10.330448,1.954238,1.042344328
20,Bhola,0.629201,0.880607,0.629201,0.683258,11.261674,2.106744,1.013991425
21,Khepupara,0.558084,0.752462,0.558084,0.538997,12.448772,2.284613,0.969003799
22,Patuakhali,0.534356,0.779083,0.534356,0.532372,13.243896,2.429007,1.098318822
23,Chandpur,0.563212,0.773891,0.563212,0.548393,12.231629,2.272697,0.816096198
24,Teknaf,0.587821,0.786056,0.587821,0.570259,13.03172,2.359197,0.984618369
25,Chittagong,0.524442,0.761327,0.524442,0.525187,12.820363,2.406155,1.774922156
26,Comilla,0.718873,0.881349,0.718873,0.730798,9.687974,1.88458,0.917790677
27,Cox's Bazar,0.726269,0.887805,0.726269,0.742593,10.283938,1.890064,1.976887675
28,Feni,0.536928,0.809537,0.536928,0.563915,13.514124,2.39538,1.014153774
29,Hatiya,0.614277,0.762529,0.614277,0.570791,12.148668,2.206219,0.906053181
30,Kutubdia,0.494898,0.764029,0.494898,0.498987,20.344356,2.982359,1.665570718
31,M.court,0.683362,0.840592,0.683362,0.677575,13.074919,2.139879,0.926314456
32,Rangamati,0.626866,0.88062,0.626866,0.683628,11.566917,2.198487,0.918213429
33,Sandwip,0.635894,0.861033,0.635894,0.661485,12.694933,2.160157,2.059725075
34,Ambagan,0.313272,0.679859,0.313272,0.354418,25.173466,3.720231,1.409450345
35,Sitakunda,0.567949,0.791119,0.567949,0.561118,12.948227,2.393559,0.922348202
